Species,0086SE_IS01,0086SE_0001,0086SE_0002,0086SE_0003,0086SE_0004,0086SE_0005,0086SE_0006,0086SE_0007,0086SE_0009,0086SE_0010,0086SE_0011,0086SE_0013,0086SE_0014,0086SE_0015,0086SE_0016,0086SE_0017,0086SE_0018,0086SE_0019,0086SE_0020,0086SE_0021,0086SE_0022,0086SE_0024,0086SE_0025,0086SE_0026,0086SE_0027,0086SE_0028,0086SE_0029,0086SE_0030,0086SE_0031,0086SE_0032,0086SE_0033
PI 38:3,0,4.629,5.432,3.295,3.026,3.239,2.366,2.443,3.063,3.68,3.237,1.992,7.085,5.926,6.777,3.82,4.297,5.759,7.282,12.472,5.902,3.354,3.099,4.192,3.594,3.864,3.353,1.745,3.827,2.933,3.156
PI 38:4,0,14.702,30.333,21.746,18.843,17.217,14.066,17.314,18.247,30.91,32.661,25.233,27.099,17.017,24.367,24.195,27.14,42.606,41.972,45.266,28.237,12.706,11.048,12.347,28.987,28.345,30.167,18.771,37.8,24.125,21.241
PI 38:5,0,1.278,2.165,0.898,1.041,1.246,1.577,0.841,0.86,1.19,1.753,0.753,1.995,1.648,1.75,1.859,1.426,2.43,3.936,5.388,2.228,1.543,1.756,1.281,1.315,1.065,1.607,0.628,1.418,0.991,1.244
PI 38:6,0,0.361,0.603,0.309,0.224,0.324,0.412,0.36,0.211,0.589,0.573,0.305,0.704,0.546,0.582,0.469,0.465,0.756,0.774,0.944,0.49,0.936,0.839,0.522,0.408,0.394,0.334,0.174,0.38,0.369,0.648
PI 40:4,0,0.311,0.516,0.364,0.211,0.229,0.162,0.239,0.254,0.387,0.415,0.313,0.578,0.377,0.521,0.36,0.469,0.653,0.988,1.696,0.804,0.348,0.252,0.375,0.425,0.537,0.643,0.368,0.707,0.479,0.295
PI 40:5,0,0.647,1.023,0.612,0.851,0.849,1.041,0.745,0.653,0.879,1.476,1.044,1.956,1.26,1.386,0.768,1.137,1.834,2.04,3.387,1.459,1.416,0.964,1.04,1.256,1.214,1.458,0.789,1.267,1.04,0.783
PI 40:6,0,1.176,1.768,0.975,0.584,0.962,0.818,1.055,0.856,1.664,1.576,1.024,1.775,1.227,1.48,1.162,1.37,1.591,1.943,3.021,1.423,2.005,1.634,1.475,1.557,1.164,1.235,0.756,1.453,1.654,1.854
PE P-18:0/16:0,0,0.118,0.103,0.11,0.042,0.04,0.033,0.082,0.078,0.08,0.055,0.044,0.084,0.071,0.093,0.109,0.047,0.077,0.061,0.052,0.081,0,0.03,0.011,0.07,0.086,0.075,0.042,0.1,0.058,0.036
PE P-16:0/18:1,0.002,1.729,0.876,0.828,0.448,0.513,0.43,0.598,0.458,0.428,0.943,0.26,0.671,0.554,0.585,0.524,0.388,0.673,0.594,0.869,0.46,0.309,0.361,0.356,0.637,0.802,0.675,0.348,0.795,0.519,0.523
PE P-18:1/16:0,0,0.574,0.503,0.11,0.198,0.12,0.019,0.222,0.118,0.099,0.094,0,0.038,0.029,0.059,0.076,0.013,0.131,0.03,0.027,0.004,0.022,0,0.004,0.073,0.094,0.062,0.021,0.12,0.031,0.159
PE P-16:0/18:2,0.005,3.674,2.634,2.382,0.388,0.512,0.598,1.639,1.533,1.007,1.528,0.36,1.813,1.494,1.618,1.321,0.625,1.085,0.824,0.931,0.525,0.375,0.48,0.568,1.165,1.427,1.338,0.592,1.444,1.123,1.167
PE P-18:0/18:1,0,0.872,0.955,0.647,0.257,0.228,0.239,0.588,0.5,0.584,0.649,0.26,0.574,0.428,0.44,0.485,0.379,0.668,0.597,0.782,0.558,0.19,0.195,0.343,0.695,0.77,0.821,0.357,0.584,0.697,0.6
PE P-18:1/18:1,0.006,0.964,0.82,0.518,0.404,0.339,0.264,0.665,0.394,0.424,0.645,0.181,0.487,0.297,0.44,0.524,0.241,0.475,0.36,0.643,0.351,0.244,0.193,0.328,0.333,0.65,0.646,0.375,0.577,0.501,0.505
PE P-18:0/18:2,0,2.621,3.392,2.887,0.648,0.587,0.515,1.931,2.247,1.261,1.453,0.643,2.243,1.528,1.605,1.454,0.936,1.486,1.238,1.435,0.598,0.63,0.685,0.755,1.515,2.056,1.949,0.996,1.596,2.113,1.901
PE P-16:0/20:3,0.022,1.306,0.577,0.494,0.212,0.133,0.203,0.254,0.37,0.228,0.314,0.056,0.55,0.485,0.552,0.386,0.298,0.416,0.385,0.45,0.192,0.129,0.13,0.179,0.298,0.334,0.381,0.164,0.585,0.213,0.361
PE P-18:1/18:2,0.014,1.9,1.744,1.656,0.501,0.335,0.314,1.256,1.158,0.747,1.038,0.247,1.004,0.885,0.951,0.735,0.448,0.682,0.531,0.649,0.365,0.322,0.308,0.471,0.779,1.105,0.945,0.549,0.948,0.855,0.926
PE P-18:0/18:3,0,0.134,0.071,0.113,0.033,0.048,0.05,0.054,0.044,0.064,0.052,0.023,0.076,0.067,0.045,0.063,0.048,0.027,0.094,0.048,0.039,0.035,0.026,0.06,0.046,0.055,0.051,0.032,0.062,0.042,0.05
PE P-16:0/20:4,0,7.899,6.599,6.238,1.553,1.41,1.104,4.035,3.488,5.655,3.276,1.472,5.094,4.279,5.214,5.076,3.745,7.058,4.903,6.814,4.122,0.88,0.677,0.915,4.154,4.563,4.253,2.273,5.306,2.229,3.034
PE P-18:1/18:3,0,0.169,0.074,0.065,0.046,0.041,0.06,0.049,0.045,0.068,0.046,0.041,0.033,0.041,0.046,0.036,0.042,0,0.041,0.057,0,0.036,0.024,0,0,0.037,0.063,0.044,0,0.051,0.052
PE P-16:0/20:5,0.013,0.676,0.364,0.351,0.022,0.041,0.097,0.758,0.236,1.009,0.197,0.083,0.428,0.383,0.391,0.516,0.163,0.237,0.437,0.507,0.238,0.08,0.074,0.075,0.096,0.185,0.233,0.111,0.29,0.174,0.88
PE P-18:0/20:3,0,0.919,0.569,0.452,0.193,0.194,0.197,0.177,0.473,0.459,0.217,0.164,0.61,0.489,0.572,0.34,0.38,0.457,0.401,0.495,0.317,0.138,0.082,0.085,0.405,0.605,0.474,0.232,0.355,0.303,0.23
PE P-16:0/22:4,0,0.432,0.49,0.549,0.341,0.323,0.169,0.336,0.306,0.249,0.498,0.349,0.377,0.291,0.485,0.33,0.399,0.582,0.474,0.604,0.406,0.208,0.154,0.187,0.529,0.536,0.56,0.365,0.633,0.408,0.288
PE P-18:1/20:3,0.018,0.629,0.282,0.268,0.115,0.145,0.122,0.201,0.166,0.229,0.179,0.05,0.227,0.316,0.247,0.308,0.188,0.137,0.139,0.35,0.116,0.077,0.067,0.062,0.23,0.322,0.317,0.096,0.238,0.075,0.148
PE P-18:0/20:4,0,5.651,8.232,7.805,1.005,1.129,0.692,4.566,4.77,5.879,3.138,3.166,5.614,4.378,4.169,5.706,3.85,10.595,5.438,7.204,4.265,0.681,0.493,0.432,5.137,6.576,5.481,3.143,6.326,3.726,4.145
PE P-16:0/22:5,0.004,0.979,1.231,1.392,0.724,0.458,0.576,0.814,0.9,1.026,0.816,0.434,1.191,0.879,1.039,0.882,0.986,1.379,1.025,1.639,1.019,0.429,0.301,0.345,0.773,1.196,1.081,0.647,1.105,0.658,0.728
PE P-18:1/20:4,0,3.637,5.164,4.01,1.02,0.986,0.712,3.307,2.872,3.991,2.62,1.15,3.15,2.501,3.453,3.838,2.326,4.634,3.106,4.878,2.635,0.554,0.578,0.537,2.709,4.27,3.54,1.93,4.23,1.58,2.415
PE P-18:0/20:5,0,0.697,0.644,0.562,0.056,0.056,0.137,1.121,0.493,1.11,0.252,0.176,0.643,0.505,0.482,0.654,0.22,0.551,0.562,0.61,0.294,0.079,0.083,0.096,0.267,0.377,0.372,0.126,0.33,0.248,1.271
PE P-16:0/22:6,0,2.98,3.503,3.352,1.142,0.564,0.65,2.923,1.968,3.891,2.285,1.491,1.823,1.334,2.291,2.17,1.938,2.621,1.903,2.542,2.125,0.689,0.576,0.63,1.897,1.774,1.821,1.039,1.88,1.707,2.25
PE P-18:1/20:5,0.01,0.394,0.269,0.223,0.043,0.085,0.083,0.871,0.223,0.909,0.142,0.107,0.312,0.303,0.313,0.36,0.089,0.17,0.289,0.29,0.224,0.08,0.104,0.077,0.078,0.107,0.184,0.071,0.255,0.095,0.742
PE P-18:0/22:4,0,0.123,0.406,0.274,0.056,0.06,0.005,0.099,0.028,0.111,0.13,0.087,0.038,0.062,0.095,0.085,0.078,0.169,0.089,0.186,0.091,0.016,0,0,0.199,0.194,0.15,0.077,0.169,0.176,0.066
PE P-18:0/22:5,0,0.305,0.989,0.479,0.213,0.087,0.087,0.342,0.447,0.31,0.245,0.211,0.536,0.286,0.33,0.215,0.282,0.461,0.421,0.526,0.31,0.127,0.039,0.081,0.368,0.478,0.453,0.211,0.491,0.287,0.257
PE P-18:0/22:6,0,1.448,3.143,2.532,0.44,0.337,0.384,1.967,1.346,2.587,1.316,1.074,1.313,0.81,1.159,1.699,0.935,1.91,0.942,1.36,0.855,0.414,0.242,0.309,1.325,1.582,1.708,0.79,1.585,1.633,1.847
PE P-18:1/22:6,0.008,1.071,1.78,1.326,0.797,0.355,0.24,1.782,0.716,1.877,1.055,0.64,0.761,0.465,0.741,1.12,0.73,1.07,0.519,0.977,0.607,0.299,0.237,0.206,0.699,0.78,0.796,0.547,0.959,0.791,1.098
LPC 15:0,0,0.559,0.585,0.518,0.205,0.16,0.178,0.675,0.712,0.531,0.492,0.267,0.73,0.505,0.626,0.46,0.349,0.42,0.317,0.417,0.43,0.345,0.328,0.42,0.409,0.414,0.631,0.264,0.498,0.381,0.603
LPC 16:0,0,45.667,58.19,52.924,37.666,31.081,26.629,47.18,60.113,74.806,69.658,51.948,74.697,54.373,59.346,45.938,73.575,100.205,107.49,147.746,88.343,32.913,32.65,47.977,57.717,60.187,78.818,47.261,101.184,45.407,76.227
LPC 16:1,0,1.368,1.253,1.012,1.299,1.165,0.979,1.435,1.875,2.534,1.784,0.837,2.915,2.751,2.386,2.417,3.146,5.544,8.38,11.402,6.094,1.887,2.092,2.359,1.402,1.439,2.109,1.096,2.273,0.91,1.516
LPC 18:0,0,12.89,25.163,21.025,10.212,9.713,8.959,16.524,19.894,26.118,18.907,9.117,23.504,15.204,18.027,17.865,22.119,26.292,25.894,32.657,19.672,7.03,8.644,10.673,17.972,19.064,24.496,12.674,27.707,18.631,31.582
LPC 18:1,0,15.103,21.143,12.37,12.664,10.952,8.216,12.686,14.012,13.889,19.826,11.735,16.44,13.755,15.21,12.559,15.971,28.248,35.527,49.808,25.209,10.499,11.004,15.662,15.899,16.875,22.726,14.094,24.946,14.043,17.62
LPC 18:2,0,13.722,22.77,14.489,7.465,6.334,4.842,14.68,16.05,12.291,10.971,8.277,15.165,11.311,11.916,10.764,8.372,21.526,15.518,17.355,13.471,7.517,7.391,11.641,13.095,14.978,18.112,10.714,16.192,13.709,16.728
LPC 18:3,0,0.529,0.389,0.167,0.09,0.144,0.136,0.316,0.292,0.292,0.138,0.082,0.331,0.376,0.246,0.343,0.165,0.434,0.784,0.742,0.436,0.259,0.226,0.347,0.211,0.229,0.265,0.167,0.275,0.182,0.199
LPC 20:3,0,1.146,1.123,0.878,0.847,0.913,0.895,0.835,1.143,1.101,0.898,0.598,1.758,1.651,1.549,1.326,1.76,2.588,2.943,3.604,2.522,0.926,0.737,1.066,1.382,1.515,1.68,1.121,2.123,0.72,1.059
LPC 20:4,0,2.188,3.605,3.378,2.852,2.511,1.696,3.157,3.489,4.695,3.724,5.169,3.552,2.598,2.746,3.213,5.166,8.685,7.831,8.259,6.873,1.784,1.477,1.913,4.802,5.404,6.055,5.291,8.738,2.526,3.426
LPC 20:5,0,0.195,0.335,0.159,0.119,0.123,0.131,0.661,0.342,0.925,0.141,0.188,0.447,0.345,0.287,0.372,0.365,0.554,0.723,0.894,0.661,0.234,0.23,0.234,0.177,0.23,0.281,0.18,0.308,0.153,0.489
LPC 22:4,0,0.076,0.115,0.095,0.097,0.102,0.083,0.068,0.082,0.109,0.148,0.133,0.095,0.099,0.12,0.121,0.175,0.29,0.366,0.393,0.26,0.069,0.074,0.077,0.144,0.148,0.174,0.126,0.257,0.087,0.114
LPC 22:5,0,0.13,0.207,0.209,0.223,0.193,0.156,0.263,0.259,0.301,0.328,0.292,0.315,0.266,0.243,0.3,0.443,0.772,0.805,0.828,0.584,0.177,0.144,0.207,0.359,0.425,0.515,0.407,0.519,0.192,0.234
LPC 22:6,0,0.611,0.877,0.734,0.483,0.375,0.299,0.995,0.733,1.539,0.98,0.993,0.559,0.405,0.499,1.068,1.004,1.561,1.321,1.233,1.077,0.437,0.321,0.383,1.019,0.988,1.05,0.852,1.522,0.689,1.338
Cer d18:1/16:0,0,0.361,0.714,0.665,1.04,0.574,0.54,0.414,0.418,0.618,1.874,0.666,0.58,0.568,0.58,0.594,0.707,0.752,0.675,0.758,0.671,0.303,0.309,0.348,0.659,0.675,0.678,0.418,0.822,1.017,0.696
Cer d18:1/18:0,0,0.06,0.112,0.13,0.636,0.326,0.262,0.114,0.107,0.253,0.935,0.277,0.124,0.115,0.206,0.204,0.216,0.14,0.12,0.204,0.253,0.156,0.174,0.171,0.317,0.317,0.233,0.223,0.318,0.27,0.181
Cer d18:1/20:0,0,0.114,0.143,0.165,0.397,0.216,0.171,0.138,0.161,0.199,0.468,0.196,0.199,0.169,0.288,0.198,0.16,0.172,0.184,0.147,0.273,0.141,0.136,0.242,0.223,0.284,0.258,0.179,0.355,0.318,0.218
Cer d18:1/22:0,0,0.551,1.22,1.192,0.943,0.615,0.689,1.022,0.987,1.076,1.293,0.709,1.317,0.95,1.297,0.78,1.033,1.099,1.146,1.079,1.064,0.438,0.469,0.727,1.289,1.376,1.342,0.84,1.512,1.505,1.089
Cer d18:1/22:1,0,0.031,0.042,0.043,0.127,0.069,0.065,0.028,0.047,0.063,0.144,0.039,0.059,0.077,0.062,0.05,0.06,0.052,0.057,0.048,0.096,0.072,0.036,0.046,0.059,0.055,0.091,0.029,0.066,0.079,0.072
Cer d18:1/23:0,0,0.41,1.484,1.294,0.506,0.3,0.331,1.055,1.167,1.048,0.658,0.704,0.945,0.853,0.949,0.689,0.74,0.862,0.946,0.953,0.852,0.213,0.227,0.412,0.788,0.854,0.901,0.52,1.077,1.537,1.06
Cer d18:1/24:0,0,1.875,4.441,4.664,1.713,1.321,1.24,3.78,3.988,2.927,2.166,2.434,5.002,3.95,4.986,2.1,3.382,4.43,4.468,4.908,4.204,1.6,1.341,2.339,4.234,4.542,4.348,2.323,4.39,4.567,3.775
Cer d18:1/24:1,0,2.316,2.789,2.818,6.056,3.907,3.739,2.654,2.383,3.185,6.217,2.53,3.863,2.736,4.11,3.119,4.037,4.087,4.267,4.859,5.532,2.45,1.871,3.345,4.221,4.396,5.168,3.267,6.452,4.07,4.016
Cer d18:1/26:0,0,0.021,0.092,0.076,0.057,0.036,0.034,0.062,0.091,0.071,0.023,0.042,0.102,0.057,0.124,0.05,0.049,0.083,0.123,0.117,0.048,0.02,0.018,0.066,0.079,0.076,0.086,0.05,0.109,0.087,0.079
Cer d18:1/26:1,0,0.063,0.031,0.016,0.073,0.08,0.109,0.091,0.083,0.1,0.12,0.085,0.087,0.12,0.106,0.061,0.065,0.059,0.092,0.171,0.116,0.067,0.073,0.098,0.083,0.094,0.067,0.026,0.124,0.093,0.141
HexCer d18:1/16:0,0,0.672,0.987,0.862,0.933,0.546,0.623,0.731,0.729,0.832,1.482,1.037,0.895,0.707,0.896,1.008,0.82,0.891,0.766,1.009,0.702,0.595,0.504,0.539,0.797,0.789,0.801,0.518,0.903,1.139,0.849
HexCer d18:1/18:0,0,0.098,0.157,0.137,0.179,0.118,0.13,0.141,0.128,0.068,0.278,0.18,0.13,0.151,0.155,0.127,0.052,0.085,0.088,0.088,0.076,0.115,0.118,0.081,0.15,0.191,0.151,0.088,0.162,0.138,0.076
HexCer d18:1/20:0,0.015,0.108,0.154,0.148,0.146,0.153,0.096,0.175,0.18,0.091,0.233,0.159,0.104,0.128,0.154,0.157,0.075,0.136,0.131,0.153,0.104,0.094,0.065,0.057,0.119,0.148,0.143,0.115,0.175,0.249,0.086
HexCer d18:1/22:1,0,0.108,0.104,0.119,0.196,0.102,0.164,0.128,0.115,0.105,0.185,0.138,0.084,0.089,0.083,0.102,0.089,0.093,0.054,0.123,0.071,0.116,0.073,0.053,0.084,0.086,0.069,0.084,0.077,0.096,0.178
HexCer d18:1/22:1,0,0.802,1.704,1.27,0.9,0.556,0.789,1.739,1.46,1.214,1.142,1.117,1.487,1.076,1.174,1.059,1.008,1.189,1.063,1.38,0.984,0.492,0.384,0.554,1.234,1.147,1.084,0.829,1.392,1.812,1.285
HexCer d18:1/23:0,0,0.427,0.927,0.795,0.307,0.23,0.232,0.741,0.699,0.62,0.394,0.582,0.643,0.566,0.552,0.496,0.463,0.572,0.485,0.535,0.583,0.192,0.187,0.207,0.52,0.536,0.565,0.351,0.64,1.179,0.574
HexCer d18:1/24:0,0,1.136,1.921,1.596,1.099,0.772,1.009,1.696,1.676,1.515,1.153,1.241,2.065,1.904,1.639,1.258,1.721,1.851,1.858,2.526,2.004,0.825,0.574,0.818,1.645,1.743,1.754,1.233,1.816,2.086,1.393
HexCer d18:1/24:1,0,2.146,2.063,2.052,4.026,2.5,3.823,2.709,2.502,2.393,3.434,2.357,2.622,2.2,2.568,3.35,2.448,3.084,2.338,3.442,2.835,1.872,1.438,1.625,2.381,2.426,2.684,1.934,2.919,2.827,2.494
HexCer d18:1/26:0,0,0.043,0,0,0,0,0,0.029,0,0,0.027,0,0.035,0.079,0,0,0,0.027,0,0.088,0.033,0,0,0,0,0,0,0,0,0,0
HexCer d18:1/26:1,0,0.047,0,0.033,0,0,0,0,0.035,0,0,0,0.038,0.035,0,0.03,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0.033,0
LPC 14:0,0,2.732,0,0,0,0,0,0,1.615,0,0,0,2.408,2.224,2.035,0,0,2.708,3.563,4.974,2.457,1.322,1.384,2.329,0,0,2.296,0,0,0,0
LPC 16:0,0,98.873,125.921,116.149,81.387,67.067,57.674,99.614,126.713,157.848,153.576,117.711,154.917,118.374,133.4,106.456,165.694,235.927,236.21,351.355,203.104,77.005,77.793,110.899,135.04,141.063,180.343,115.23,230.56,104.972,183.742
LPC 16:1,0,2.256,1.939,1.557,2.195,1.943,1.56,2.364,2.961,3.793,2.92,0,4.287,4.389,3.805,4.021,5.038,9.167,13.061,19.754,10.049,3.261,3.472,4.022,2.547,2.429,3.189,2,3.815,0,2.526
LPC 17:0,0,1.78,2.653,2.186,0,0,0,2.189,2.295,2.083,1.918,0,2.371,1.803,2.511,1.606,0,0,0,0,0,0,0,1.735,1.782,1.887,2.42,0,2.25,1.859,3.161
LPC 18:0,0,27.974,53.542,46.439,22.234,21.047,19.352,34.207,44.126,56.668,42.04,19.943,48.841,33.685,41.598,40.309,48.052,58.815,55.87,71.018,44.104,14.98,18.057,23.467,39.111,43.786,53.56,30.017,61.475,40.567,72.179
LPC 18:1,0,25.806,34.884,20.448,20.906,18.631,13.599,20.369,22.869,22.986,33.991,19.469,26.246,22.97,26.63,20.893,26.995,48.375,60.642,85.261,43.571,17.785,18.394,27.85,25.321,29.487,38.45,25.653,40.367,23.384,30.144
LPC 18:2,0,23.454,38.925,25.009,12.062,10.61,8.1,24.065,25.199,20.123,18.608,13.877,24.46,19.718,21.591,19,13.811,37.591,25.586,30.104,22.315,13.089,13.432,20.931,23.04,26.553,31.287,20.782,27.083,23.622,30.483
LPC 20:3,0,1.855,1.73,0,0,1.466,0,0,1.851,1.742,0,0,2.765,2.88,2.771,2.184,2.676,4.189,4.718,6.205,4.415,1.567,0,2.069,2.447,2.526,2.838,2.06,3.279,0,1.952
LPC 20:4,0,3.861,5.947,5.732,4.653,4.232,2.908,5.165,6.044,8.017,6.184,9.19,5.853,4.672,5.348,6.192,9.334,16.579,13.181,15.562,12.882,3.239,2.852,3.739,8.888,9.782,11.814,10.344,15.578,4.536,6.542
LPC 22:6,0,0,0,0,0,0,0,1.774,0,2.877,1.74,1.964,0,0,0,2.125,1.899,3.358,2.504,2.376,2.096,0,0,0,2.044,1.815,2.25,1.837,2.848,0,2.572
LPC O-16:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.492,0,1.802,0,0
LPC O-16:1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPC O-18:1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.667,0,0
LPE 15:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPE 16:0,0,4.311,3.374,0,0,0,0,0,0,2.523,2.66,3.427,4.276,3.529,3.653,2.544,4.134,5.66,6.53,8.395,3.609,3.06,3.187,4.138,2.524,2.85,3.271,2.604,3.877,2.583,4.44
LPE 18:0,0,9.066,10.177,8.022,4.834,5.003,4.797,6.484,7.781,10.147,9.224,7.286,11.173,8.474,9.21,6.97,10.413,13.868,14.293,18.877,10.979,5.113,5.395,7.526,7.472,8.181,10.247,6.487,13.355,7.238,12.698
LPE 18:1,0,4.131,5.646,0,0,0,0,0,0,0,3.02,0,4.091,4.307,3.436,0,3.461,7.858,8.353,11.638,4.741,2.86,2.92,4.193,2.704,2.942,3.521,2.253,3.227,4.226,4.558
LPE 18:2,0,3.997,6.945,3.629,0,0,0,2.932,2.723,0,2.657,0,5.944,6.996,4.689,3.482,2.802,6.536,5.701,8.1,4.115,4.133,4.562,6.231,3.29,3.88,4.241,2.65,3.211,5.794,5.952
LPE 20:4,0,0,3.265,0,0,0,0,0,0,0,0,2.697,3.586,3.042,2.916,3.467,3.834,6.569,6.694,8.579,5.326,2.916,2.323,2.555,3.465,4.194,4.161,3.45,5.023,3.102,3.1
LPE 22:6,0,0,0,0,0,0,0,2.983,0,3.437,0,2.534,0,0,0,3.951,2.533,3.095,2.731,3.239,0,2.083,0,0,2.518,2.626,2.604,2.279,3.462,0,2.965
Cer 32:1;2,0.07,0.019,0,0.088,0,0.18,0.065,0.025,0.167,0.146,0.256,0.236,0.242,0.098,0.117,0,0.135,0.024,0.172,0,0,0,0,0.061,0,0.023,0.242,0,0.055,0.224,0
Cer 34:1;2,0,0.517,0.618,0.603,0.993,0.728,0.655,0.551,0.566,0.699,1.655,0.764,0.599,0.733,0.671,0.635,0.8,0.865,0.697,0.795,0.721,0.488,0.501,0.622,0.711,0.763,0.77,0.675,0.746,0.993,0.769
Cer 40:1;2,0,0.471,1.008,0.992,0.598,0,0,0.86,0.824,0.719,0.9,0,1.052,0.738,1.006,0,0.697,0.857,0.856,0.9,0.718,0,0,0,0.806,0.906,0.987,0.61,1.022,1.183,0.837
Cer 41:1;2,0,0,1.055,1.02,0,0,0,0.866,0.879,0.688,0,0,0.827,0.655,0.685,0,0,0,0.595,0,0,0,0,0,0.506,0.691,0.612,0,0.6,1.162,0.822
Cer 42:1;2,0,1.233,3.05,3.239,1.131,0.884,0.822,2.54,2.615,2.303,1.646,1.611,3.353,2.62,3.207,1.444,2.262,2.881,2.745,2.95,3.108,0.909,0.858,1.502,2.867,3.371,2.994,1.982,3.418,3.266,2.429
Cer 42:2;2,0,1.267,1.739,1.635,2.669,1.796,1.667,1.678,1.542,1.748,2.953,1.274,2.045,1.475,2.342,1.357,2.119,2.178,2.291,2.433,2.379,1.155,0.936,1.695,2.049,2.398,2.658,1.741,3.054,2.361,2.126
Cer 43:1;2,0,0,0,0,0,0,0,0,0,0,0,0,0.569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PC 30:0,0,5.989,2.376,1.728,2.051,1.552,1.829,2.22,2.179,1.547,2.743,0,5.447,6.218,4.387,1.916,3.017,4.882,7.217,9.226,3.957,3.672,3.295,3.731,0,0,1.672,0,0,2.624,1.593
PC 32:0,0,11.284,13.838,11.792,21.109,15.499,14.087,10.867,9.367,10.671,21.291,13.212,16.316,15.814,15.963,11.423,14.814,23.155,20.345,22.416,14.71,9.492,9.201,9.391,12.341,13.029,13.642,8.916,15.266,15.042,13.574
PC 32:1,0,8.596,9.195,7.051,15.796,10.879,12.977,8.593,8.847,15.766,13.624,5.279,29.289,38.504,21.603,22.06,27.464,55.511,93.604,132.987,61.31,25.901,26.488,22.16,9.073,9.099,9.468,6.379,9.303,8.933,7.077
PC 32:2,0,3.004,2.198,1.582,1.625,0,0,2.794,3.31,2.083,2.175,0,3.973,3.427,2.231,2.406,2.087,3.263,5.105,7.061,3.993,2.088,2.075,2.342,0,0,0,0,0,0,0
PC 33:1,0,2.358,3.633,2.49,2.503,1.73,1.492,2.765,2.558,2.836,3.638,0,5.701,6.88,4.848,2.989,2.282,3.288,3.155,4.409,4.392,3.591,3.625,3.927,2.185,2.07,2.916,0,1.901,3.483,2.288
PC 33:2,0,2.508,3.398,3.008,1.788,0,0,3.746,3.132,2.373,3.17,0,2.564,2.083,1.876,2.016,0,0,0,0,0,1.247,1.168,1.263,1.403,0,1.818,0,0,2.604,2.013
PC 34:1,0,145.857,248.755,184.373,295.975,195.798,175.836,156.535,153.717,211.899,369.414,215.918,304.032,327.19,262.838,218.115,281.734,474.08,631.155,869.217,436.456,173.075,165.332,212.481,215.614,225.525,256.371,185.663,301.875,270.711,184.477
PC 34:2,0,284.612,563.16,501.885,475.665,250.754,220.822,385.089,377.64,452.547,594.158,268.128,437.766,348.772,310.691,323.018,338.017,453.439,378.367,506.207,419.612,200.794,187.68,243.215,351.122,359.904,360.342,211.108,373.049,507.716,395.653
PC 34:3,0,11.573,14.189,7.01,10.932,6.842,6.932,11.361,10.366,12.213,10.681,2.613,13.435,13.838,8.767,13.749,9.218,14.441,20.942,27.419,17.541,9.42,9.412,9.428,6.431,6.831,7.514,3.281,6.152,6.592,6.393
PC 34:4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.237,3.019,2.015,0,0,0,0,0,0,0,0,0,0
PC 35:1,0,2.286,4.413,2.535,2.747,1.889,0,2.735,2.338,2.811,4.162,1.7,4.831,5.75,4.887,2.883,2.321,2.716,3.066,3.266,3.345,2.458,2.514,3.285,2.707,2.633,3.713,1.996,3.253,4.418,2.723
PC 35:2,0,6.084,12.941,10.286,6.195,3.233,2.427,9.829,7.433,6.825,8.472,2.41,8.25,6.458,6.695,5.776,3.202,3.976,2.72,3.516,4.485,3.693,3.492,5.333,5.078,5.519,5.733,2.838,4.175,9.957,8.719
PC 36:1,0,20.307,43.843,25.792,26.255,22.351,25.795,20.263,18.941,25.268,32.613,11.934,42.419,56.194,36.853,36.632,35.201,59.594,95.915,119.022,48.338,18.297,26.292,23.095,24.175,26.542,31.683,18.969,28.212,52.063,29.218
PC 36:2,0,156.853,373.347,268.734,204.087,140.398,133.598,187.282,190.383,228.776,252.742,71.11,248.237,192.928,181.202,211.343,180.24,237.048,226.042,304.211,187.496,95.517,102.901,114.634,164.483,183.935,175.308,101.434,166.953,310.814,237.983
PC 36:3,0,112.258,163.767,110.102,126.777,99.472,96.657,90.066,103.41,96.954,149.476,47.717,171.385,155.837,131.956,103.57,140.529,158.844,176.776,236.447,163.154,72.99,65.912,90.886,101.527,103.488,110.455,57.312,124.315,112.014,96.536
PC 36:4,0.416,105.311,198.745,180.582,179.86,120.329,90.901,141.109,140.366,215.812,225.038,242.232,180.523,140.801,122.872,132.699,237.35,355.635,312.612,368.801,310.917,72.331,63.011,64.107,182.009,200.115,205.337,159.311,250.918,142.468,128.743
PC 36:5,0,7.986,15.779,7.59,8.754,6.692,6.727,26.971,14.435,37.818,10.44,8.89,21.797,17.781,12.294,12.943,16.457,23.199,33.149,42.216,28.19,9.339,9.21,8.681,7.254,8.608,9.553,4.817,9.039,6.211,18.467
