Species,0086SE_IS01,0086SE_0001,0086SE_0002,0086SE_0003,0086SE_0004,0086SE_0005,0086SE_0006,0086SE_0007,0086SE_0009,0086SE_0010,0086SE_0011,0086SE_0013,0086SE_0014,0086SE_0015,0086SE_0016,0086SE_0017,0086SE_0018,0086SE_0019,0086SE_0020,0086SE_0021,0086SE_0022,0086SE_0024,0086SE_0025,0086SE_0026,0086SE_0027,0086SE_0028,0086SE_0029,0086SE_0030,0086SE_0031,0086SE_0032,0086SE_0033
CE 14:0,0,32.101,41.48,30.944,13.413,12.565,14.578,27.433,29.468,28.45,20.483,7.978,65.47,55.634,57.25,24.026,42.566,61.465,76.935,94.959,68.761,25.715,26.355,28.688,18.948,20.888,28.252,10.264,17.61,27.056,23.914
CE 15:0,0,7.525,15.73,12.941,5.002,3.07,2.746,12.117,9.996,10.369,7.653,4.731,15.655,13.095,15.46,9.142,5.19,5.049,3.467,3.153,7.375,6.144,5.025,7.002,7.687,8.561,9.813,4.318,6.082,12.606,9.164
CE 16:0,0,306.048,620.204,561.598,442.098,329.134,265.547,442.8,423.614,589.443,572.025,540.102,581.47,482.32,523.731,441.994,540.363,762.616,631.417,742.085,617.006,197.659,188.628,214.221,537.243,574.667,560.232,380.036,725.317,523.811,535.506
CE 16:1,0.208,57.717,87.863,75.892,99.581,75.091,74.251,77.402,87.852,187.849,93.351,65.402,274.446,272.57,219.689,196.332,303.862,469.742,676.323,893.882,565.434,145.717,143.911,134.154,104.334,103.998,108.042,68.922,138.236,83.055,90.282
CE 17:1,0.121,9.227,16.302,13.3,10.61,7.858,6.399,11.689,11.029,16.829,13.16,10.967,22.774,22.199,21.215,14.516,15.081,18.479,16.84,19.529,19.861,9.246,9.182,11.149,12.191,14.345,13.793,8.966,16.681,14.494,14.352
CE 18:1,0.177,351.657,787.227,574.378,538.575,382.899,293.586,455.617,425.895,698.76,762.798,618.132,752.052,658.764,742.861,566.369,713.962,947.919,1044.43,1323.492,966.314,284.328,282.957,357.234,671.673,692.721,719.184,497.604,949.649,679.312,598.671
CE 18:2,1.715,797.065,2153.819,2026.939,1048.921,639.046,448.196,1582.587,1518.443,1995.981,1542.014,1015.291,1489.719,964.856,1286.859,1166.083,1039.936,1378.495,1004.145,1072.771,937.282,455.411,427.229,532.346,1317.521,1399.255,1315.529,756.664,1553.404,1592.685,1513.879
CE 18:3,0,23.172,47.133,34.447,17.152,17.305,22.211,39.672,38.564,46.661,19.123,10.326,55.572,57.095,43.74,44.019,35.352,48.928,79.043,82.543,57.869,17.243,21.335,16.636,26.852,28.42,31.612,16.031,40.318,16.876,20.862
CE 19:2,0,4.892,13.403,10.075,7.12,4.795,3.719,9.382,8.228,10.216,11.284,9.786,9.004,8.236,9.382,7.863,8.825,11.25,11.193,15.095,11.059,3.773,4.092,5.012,7.96,8.639,8.936,6.135,12.243,9.761,9.621
CE 19:3,0,6.518,17.258,16.081,8.531,5.066,3.704,13.253,12.784,16.148,13.303,8.827,12.252,8.306,11.148,9.654,8.738,10.716,8.328,8.603,7.826,3.719,3.745,4.301,9.16,10.657,9.91,5.828,12.518,11.844,11.667
